id	nombre	seccion_label	artista	presupuesto_formateado	ciudad
274	Acàcies-Picaio	Sección 16	Xavi Herrero	3.000,00 €	València
262	Actor Mora-Constitució	Sección 16	Matías Almela Piqueras	3.250,00 €	València
208	Alacant	Sección 13	Santiago Parrado Dobón	4.130,00 €	València
42	Albacete-Marvà	Sección 2	Andreu Sánchez Hernández	10.010,00 €	València
79	Albereda-França	Sección 5	Alex López	8.500,00 €	València
98	Alberic-Heroi Romeu	Sección 6	Carlos Herrero Muria	7.300,00 €	València
202	Alcàsser-Iàtova	Sección 12	Clara Ruiz Barberá	4.500,00 €	València
95	Alemanya-El Batxiller	Sección 6	Alejandro Cano Hernández	7.500,00 €	València
276	Alfons el Magnànim-Nau-Bonaire	Sección 17	Art, Fusta i Foc	3.000,00 €	València
9	Almirall Cadarso-Comte d'Altea	Sección Especial	Vicente Gomar Vidal	30.000,00 €	València
133	Alqueries de Bellver-Garbí	Sección 8	Alejandro Arredondo Ortega	6.000,00 €	València
32	Andreu Piles Ivars-Salvador Tuset	Sección 2	Rafael Ibáñez Sánchez	14.000,00 €	València
366	Àngel Guimerà-Pintor Vila Prades	Fuera de concurso	La Comissió	2.000,00 €	València
301	Àngel Villena-Pintor Sabater	Sección 18	Víctor Navarro Granero	2.800,00 €	València
364	Antiga Senda de Senent-Albereda	Sección 22	La Comissió	1.000,00 €	València
34	Aras de Alpuente-Castell de Pop	Sección 2	Miriam García Sandemetrio	12.000,00 €	València
19	Arquebisbe Olaechea-Sant Marcel·lí	Sección 1	Rubén Moya	17.000,00 €	València
57	Arquitecte Alfaro-Francesc Cubells	Sección 3	Kuebien Valencia SLU	9.500,00 €	València
206	Arts i Oficis-Actor Llorens	Sección 12	Vicente Albert García	4.200,00 €	València
36	Arxiduc Carles-Músic Gomis	Sección 2	Borja Llorens Mata	12.000,00 €	València
51	Arxiduc Carles-Xiva	Sección 3	Manuel José Blanco Climent	9.900,00 €	València
168	Av.Jacinto Benavente-Regina Na Germana	Sección 10	Ferrán García Madero-Candelas	5.500,00 €	València
222	Avinguda Ausiàs March-Na Rovella	Sección 13	Víctor Caballero Gutiérrez	4.000,00 €	València
358	Avinguda Burjassot-Carretera de Paterna	Sección 22	Jorge A.Mas Martí	1.023,00 €	València
93	Avinguda Burjassot-Pare Carbonell	Sección 6	Ángel Navarro Requena	7.500,00 €	València
127	Avinguda Campanar-Hipòlit Rovira	Sección 8	Francisco Tarazona García	6.300,00 €	València
172	Avinguda de Burjassot-Joaquim Ballester	Sección 10	José Badía Roca	5.060,00 €	València
369	Avinguda de França-Alfred Toran i Olmos	Sección 3	Carlos Herrero Muria	10.000,00 €	València
71	Avinguda de l'Oest	Sección 4	Pamdenas (Francisco Tarazona)	8.800,00 €	València
223	Avinguda de la Plata-La Senyera	Sección 13	Juan Carlos Banacloy Cuevas	4.000,00 €	València
153	Avinguda de Valladolid-Enginyer Vicent Pichó	Sección 9	Laura Martínez Peralta	5.670,00 €	València
171	Avinguda Giorgeta-Roís de Corella	Sección 10	Rubén Canet Burillo	5.125,00 €	València
163	Avinguda l'Equador-Alcalde Gurrea	Sección 10	Emilio Tamarit Simón	5.500,00 €	València
8	Avinguda Malva-Rosa-Antoni Ponz-Cavite	Sección Especial	Xavier Gurrea Belenguer	31.000,00 €	València
128	Avinguda Mestre Rodrigo-General Avilés	Sección 8	Rubén Canet Burillo	6.300,00 €	València
277	Avinguda Pérez Galdós-Calixt III	Sección 17	Daniel Salvador Esteve	3.000,00 €	València
130	Avinguda Peris i Valero-Cuba	Sección 8	Rodrigo Nuñez López	6.100,00 €	València
259	Avinguda Pianista Martínez Carrasco-Eslida	Sección 16	Fet d´encàrrec	3.300,00 €	València
146	Avinguda Poeta García Lorca-Oltà	Sección 9	Sergio Sánchez García	6.000,00 €	València
189	Avinguda Portugal-Fragata	Sección 11	Rafael Vilches	4.995,00 €	València
169	Avinguda Primat Reig-Sant Vicent de Paül	Sección 10	Vicente Domínguez Pérez	5.200,00 €	València
309	Avinguda Primat Reig-Vinaròs	Sección 18	Alejandro Cano Hernández	2.500,00 €	València
105	Avinguda Regne de València-Ciscar	Sección 6	Francisco Tarazona García	7.000,00 €	València
28	Avinguda Regne de València-Duc de Calàbria	Sección 2	Carlos Carsí García	14.500,00 €	València
148	Avinguda Regne de València-Mestre Serrano	Sección 9	Sevior & Priol Arts	5.800,00 €	València
107	Avinguda Regne de València-Sant Valer	Sección 7	David Mourelle Nicolás	7.000,00 €	València
257	Avinguda Tarongers-Universitat Politècnica	Sección 15	Vicente Julián García Pastor	3.300,00 €	València
382	Avinguda.Burjassot-Serra d'Agullent	Sección 20	Manolo García Vareta	2.000,00 €	València
174	Azcàrraga-Ferran el Catòlic	Sección 11	Enrique Nuñez Nuñez	5.000,00 €	València
255	Bailén-Xàtiva	Sección 15	Paco y David	3.300,00 €	València
359	Baix-Mesó de Morella	Sección 22	Vicente Domínguez	1.014,00 €	València
159	Baró de Patraix-Conca	Sección 10	Laia Nuñez Porcar	5.500,00 €	València
103	Baró de San Petrillo-Leonor Jovani	Sección 6	Pepe Gómez Olmos	7.000,00 €	València
258	Barraca-Columbretes	Sección 15	Fusta i Cartó S.L.	3.300,00 €	València
177	Barraca-Església del Rosari	Sección 11	Lorenzo Fandos Ayoro	5.000,00 €	València
370	Barraca-Espadà	Sección 3	Alejandro López Sánchez	9.997,00 €	València
30	Barri Beteró	Sección 2	Sergio Gómez Ferrer	14.000,00 €	València
69	Barri de La Llum	Sección 4	Alex Estarlich Fortea	8.950,00 €	València
87	Barri de Sant Isidre	Sección 5	Pepe Gómez Olmos	8.000,00 €	València
125	Barri de Sant Josep	Sección 8	Loren y Sergio Fandos	6.300,00 €	València
184	Barri Quint-Pizarro	Sección 11	Alex Martínez	5.000,00 €	València
183	Benicadell-Sant Roc	Sección 11	Fernando Martínez Hernández	5.000,00 €	València
326	Benimodo-Enginyer Dicenta	Sección 19	Antonio Sales	2.250,00 €	València
89	Bilbao-Maximilià Thous	Sección 5	Adrián Ballesteros Rubio	7.900,00 €	València
47	Bisbe Jaume Pérez-Lluís Oliag	Sección 3	Andreu Sánchez Hernández	10.000,00 €	València
352	Blanqueries	Sección 21	Javier Guillermo Gómez Gil	1.500,00 €	València
13	Blas Gámez - Ángel Villena	Sección Especial	Fran Tarazona	23.000,00 €	València
367	Blasco Ibáñez-Mestre Ripoll	Fuera de concurso	La Comissió	300,00 €	València
61	Blocs Platja	Sección 4	Víctor Hugo Giner Blasco	9.000,00 €	València
380	Borrull-Socors	Sección 18	Paco Ribes	2.666,00 €	València
303	Borrull-Túria	Sección 18	La Comissió	2.500,00 €	València
154	Bosseria-Tossal	Sección 9	Juan Carlos Banacloy Cuevas	5.500,00 €	València
200	Cadis-Dénia	Sección 12	Rubén Canet Burillo	4.500,00 €	València
92	Cadis-Els Centelles	Sección 6	Alejandro López Sánchez	7.500,00 €	València
190	Cadis-Literat Azorín	Sección 11	Toni Ramos Asensi	4.950,00 €	València
